year,province,จำนวนวันที่ฝนตก,ปริมาณน้ำฝน,%ความชื้นสัมพัทธ์,อุณหภูมิสูงสุด,อุณหภูมิต่ำสุด,อุณหภูมิเฉลี่ย,ผู้เสียชีวิต,%การเสียชีวิต,ผู้ป่วย,latitude,longitude
2017,Phitsanulok,125,1621.1,74.9,38.6,12.5,28.1,0,0,656,14.2,104
2018,Phitsanulok,121,1140.2,75.3,39.3,16.6,28,2,0.14,1432,14.2,104
2019,Phitsanulok,89,867.6,72,41.5,10.4,28.6,3,0.38,793,14.2,104
2020,Phitsanulok,109,1148.6,0,0,14.9,0,3,0.35,862,14.2,104
2016,Phra Nakhon Si Ayutthaya,94,1028.7,72.4,42.1,12.9,29,0,0,1070,14.25,100.3
2017,Phra Nakhon Si Ayutthaya,117,1369.8,76.1,39.4,14,28.4,0,0,568,14.25,100.3
2018,Phra Nakhon Si Ayutthaya,107,1023.7,76.8,37.6,15.4,28.3,5,0.31,1606,14.25,100.3
2019,Phra Nakhon Si Ayutthaya,77,575.8,72.6,40.4,15.6,29,1,0.07,1529,14.25,100.3
2020,Phra Nakhon Si Ayutthaya,86,1093.4,0,0,17,0,2,0.19,1046,14.25,100.3
2016,Phrae,126,1342.6,73.2,43.3,9.8,27.5,0,0,234,18.07,100.09
2017,Phrae,135,1411.9,77,39.2,8.2,27,0,0,101,18.07,100.09
2018,Phrae,125,1023.5,77.1,39.7,13.9,27,1,0.24,423,18.07,100.09
2019,Phrae,100,999.9,73,43,8.2,27.8,0,0,356,18.07,100.09
2020,Phrae,91,1370.9,0,0,9.2,0,0,0,221,18.07,100.09
2016,Phuket,178,2536.5,76.9,37.9,23.3,28.9,0,0,1000,7.53,98.24
2017,Phuket,193,2766.4,77.6,36.1,22,28.5,2,0.19,1053,7.53,98.24
2018,Phuket,168,2069.3,76.5,37.4,22.1,28.8,4,0.18,2225,7.53,98.24
2019,Phuket,149,1688.8,75.4,39.2,23.2,29.2,1,0.07,1537,7.53,98.24
2020,Phuket,178,2565,0,0,23.4,0,1,0.2,510,7.53,98.24
2016,Prachin Buri,0,1662.5,75.3,39.1,14.7,29.4,0,0,578,14,101.25
2017,Prachin Buri,153,1895.3,74.2,39.6,16.2,28.9,0,0,295,14,101.25
2018,Prachin Buri,142,1970.2,74.9,37.9,17.8,28.8,0,0,350,14,101.25
2019,Prachin Buri,111,1341.4,69.9,40.3,17.3,29.6,1,0.1,1027,14,101.25
2020,Prachin Buri,122,1529.7,0,0,18.4,0,0,0,443,14,101.25
2016,Prachuap Khiri Khan,112,1084,76.3,39,15.3,28.2,0,0,638,11.49,99.48
2017,Prachuap Khiri Khan,112,1474.5,76.9,38.5,17,27.8,1,0.14,739,11.49,99.48
2018,Prachuap Khiri Khan,126,1422.4,78.8,37,18.3,27.6,0,0,642,11.49,99.48
2019,Prachuap Khiri Khan,94,855.1,75.2,39.5,17.5,28.2,2,0.26,769,11.49,99.48
2020,Prachuap Khiri Khan,100,969.8,0,0,19.5,0,1,0.19,534,11.49,99.48
2016,Ranong,201,4924.9,79.2,38.4,20.9,27.7,0,0,258,9.56,98.4
2017,Ranong,219,4692.8,81.4,35.3,19,27.2,0,0,208,9.56,98.4
2018,Ranong,215,4760.5,80.4,36,19.5,27.3,0,0,471,9.56,98.4
2019,Ranong,183,3828.7,78.5,37.2,20.3,27.7,1,0.21,471,9.56,98.4
2020,Ranong,176,3041.8,0,0,20,0,0,0,367,9.56,98.4
2016,Ratchaburi,120,1243.2,77.7,41.5,14.4,28.3,0,0,782,13.3,99.54
2017,Ratchaburi,148,1207.9,78.9,39.2,14.1,27.7,1,0.23,440,13.3,99.54
2018,Ratchaburi,128,1006.5,78.8,38.5,16.3,27.8,3,0.23,1319,13.3,99.54
2019,Ratchaburi,100,956.1,76.9,40,16.6,28.1,2,0.13,1598,13.3,99.54
2020,Ratchaburi,102,1108,0,0,17.9,0,0,0,1176,13.3,99.54
2016,Rayong,116,1308.5,77.8,35,16.3,28.7,0,0,1820,12.4,101.2
2017,Rayong,143,1659.2,78,34.5,17,28.3,0,0,378,12.4,101.2
2018,Rayong,113,941.6,79,35,18.5,28.2,0,0,754,12.4,101.2
2019,Rayong,94,946,76.9,35,17.5,28.8,0,0,1015,12.4,101.2
2020,Rayong,143,1710,0,0,18.6,0,0,0,1155,12.4,101.2
2016,Roi Et,0,1440.8,70.9,42.3,11,28.1,0,0,2366,16.4,103.4
2017,Roi Et,117,1759.1,74.7,39.2,10.7,27.4,1,0.12,866,16.4,103.4
2018,Roi Et,113,1224.6,72.7,40,11.6,27.4,0,0,1145,16.4,103.4
2019,Roi Et,95,1530.7,70,41.3,12.7,28.4,1,0.03,2878,16.4,103.4
2020,Roi Et,110,1287.4,0,0,13,0,0,0,1949,16.4,103.4
2016,Sa kaeo,133,1450.2,78.1,42.2,13,28.5,0,0,462,13.8222,102.066
2017,Sa kaeo,153,1474.4,80.6,38.9,12.9,27.7,0,0,543,13.8222,102.066
2018,Sa kaeo,143,1715.2,81.3,39.7,15.6,27.6,0,0,523,13.8222,102.066
2019,Sa kaeo,111,1356.6,77.9,40,15,28.2,3,0.16,1894,13.8222,102.066
2020,Sa kaeo,117,1531.2,0,0,15.3,0,2,0.19,1059,13.8222,102.066
2016,Sakon Nakhon,123,1349.3,71.9,41.7,8,27.1,0,0,726,17.1,104.9
2017,Sakon Nakhon,139,2422.9,75.4,38.5,8.5,26.3,1,0.12,805,17.1,104.9
2018,Sakon Nakhon,125,1560,73.9,39.5,11.4,26.4,0,0,884,17.1,104.9
2019,Sakon Nakhon,109,1213,71.2,40.5,10,27.5,1,0.04,2609,17.1,104.9
2020,Sakon Nakhon,118,1284.6,0,0,11.5,0,0,0,1712,17.1,104.9
2016,Samut Prakan,93,2082.7,75.8,35.8,16,29,0,0,1898,13.32,100.4
2017,Samut Prakan,97,1650.9,75.4,36,16.6,28.8,3,0.33,914,13.32,100.4
2018,Samut Prakan,128,1498.9,76.2,36,18.9,28.7,0,0,1466,13.32,100.4
2019,Samut Prakan,97,962.6,74.3,36.5,18.4,29.1,4,0.29,1383,13.32,100.4
2020,Samut Prakan,113,1534.3,0,0,19.1,0,1,0.08,1315,13.32,100.4
2016,Samut Sakhon,0,0,0,0,0,0,0,0,844,13.5498,100.2741
2017,Samut Sakhon,0,0,0,0,0,0,1,0.19,532,13.5498,100.2741
2018,Samut Sakhon,0,0,0,0,0,0,1,0.08,1270,13.5498,100.2741
2019,Samut Sakhon,0,0,0,0,0,0,2,0.15,1329,13.5498,100.2741
2020,Samut Sakhon,0,0,0,0,0,0,1,0.15,667,13.5498,100.2741
2016,Samut Songkhram,0,0,0,0,0,0,0,0,138,13.24,100.1
2017,Samut Songkhram,0,0,0,0,0,0,0,0,110,13.24,100.1
2018,Samut Songkhram,0,0,0,0,0,0,0,0,368,13.24,100.1
2019,Samut Songkhram,0,0,0,0,0,0,0,0,276,13.24,100.1
2020,Samut Songkhram,0,0,0,0,0,0,0,0,135,13.24,100.1
2016,Saraburi,0,0,0,0,0,0,0,0,494,14.3,100.55
