year,province,province_num,day_raindrop,quant_rain,humbidity_perc,temp_max,temp_min,temp_avg,dead,dead_perc,patient
2561,ระนอง,49,215,4760.5,80.4,36,19.5,27.3,0,0,471
2561,ระยอง,50,113,941.6,79,35,18.5,28.2,0,0,754
2561,ราชบุรี,51,128,1006.5,78.8,38.5,16.3,27.8,3,0.23,1319
2561,ลพบุรี,52,109,1281.4,72.6,37.9,17.4,28.6,1,0.13,782
2561,ลำปาง,53,116,1170.2,75.4,40.3,12.9,26.8,0,0,185
2561,ลำพูน,54,104,1121.2,74.8,39.8,11.5,26.6,0,0,634
2561,เลย,55,124,1073.7,76.5,39.7,12.1,26.1,0,0,479
2561,ศรีสะเกษ,56,131,1435.6,74.3,40.3,12.1,27.5,1,0.06,1644
2561,สกลนคร,57,125,1560,73.9,39.5,11.4,26.4,0,0,884
2561,สงขลา,58,155,1989.7,80.3,36.3,21.2,28,2,0.11,1752
2561,สตูล,59,178,2224.6,79.8,37.3,19.8,27.8,0,0,1226
2561,สมุทรปราการ,60,128,1498.9,76.2,36,18.9,28.7,0,0,1466
2561,สมุทรสงคราม,61,128,1498.9,76.2,36,18.9,28.7,0,0,368
2561,สมุทรสาคร,62,128,1498.9,76.2,36,18.9,28.7,1,0.08,1270
2561,สระแก้ว,63,143,1715.2,81.3,39.7,15.6,27.6,0,0,523
2561,สระบุรี,64,109,1281.4,72.6,37.9,17.4,28.6,0,0,860
2561,สิงห์บุรี,65,109,1281.4,72.6,37.9,17.4,28.6,0,0,115
2561,สุโขทัย,66,89,880.1,78.2,40.5,15.7,28,0,0,817
2561,สุพรรณบุรี,67,97,863.2,74.6,39.6,16.4,28.6,2,0.12,1608
2561,สุราษฎร์ธานี,68,163,1611.8,85,37.5,18.4,27.1,2,0.05,3895
2561,สุรินทร์,69,111,1125.1,72.4,39.2,11.8,27.5,1,0.05,2063
2561,หนองคาย,70,117,1667.4,72.4,41.2,10,27.1,0,0,382
2561,หนองบัวลำภู,71,123,1073.7,75.6,39.7,12.1,26.1,0,0,341
2561,อ่างทอง,72,97,863.2,74.6,39.6,16.4,28.6,2,0.37,544
2561,อำนาจเจริญ,73,126,1308.7,71.1,39.1,11.8,27.6,0,0,179
2561,อุดรธานี,74,125,1423.7,73.9,39.1,11.6,27,1,0.06,1542
2561,อุตรดิตถ์,75,116,1329.9,72.9,40,16.5,27.9,0,0,405
2561,อุทัยธานี,76,111,883.8,74.5,40.3,15.9,28.6,0,0,590
2561,อุบลราชธานี,77,126,1731.6,71.1,39.1,11.8,27.6,2,0.09,2239
2562,กระบี่,2,145,1474.1,80.1,38.8,20,27.4,1,0.05,1943
2562,กรุงเทพฯ,1,95,1058.1,72.9,40,17.7,29.5,10,0.21,4773
2562,กาญจนบุรี,3,87,687.4,67.2,42.5,14.1,29.3,1,0.04,2554
2562,กาฬสินธุ์,4,98,1299.6,75,41.4,10,27.8,0,0,1971
2562,กำแพงเพชร,5,100,1041.7,70.1,42,11.4,28.6,0,0,938
2562,ขอนแก่น,6,96,1068.6,67.2,41.5,11.1,28.4,5,0.1,5255
2562,จันทบุรี,7,156,2538,77.6,36.4,18,28.5,3,0.22,1371
2562,ฉะเชิงเทรา,8,109,920.5,77.4,39.5,14.4,27.6,0,0,1998
2562,ชลบุรี,9,102,1081.8,73.7,38.7,17.3,29.5,5,0.19,2577
2562,ชัยนาท,10,89,739,72.1,41,13.8,28.6,0,0,386
2562,ชัยภูมิ,11,78,774.8,63.9,42.5,13.2,28.8,0,0,1908
2562,ชุมพร,12,156,1764.5,80.9,38.3,18.8,27.6,1,0.08,1178
2562,เชียงราย,13,99,1012.8,70.2,42,6.3,26.2,0,0,1560
2562,เชียงใหม่,14,112,972.1,65.8,41.6,10.5,27.5,4,0.2,2030
2562,ตรัง,15,163,2035.5,79.9,38,20.3,27.8,0,0,4342
2562,ตราด,16,185,5287.3,81,35.8,18.2,27.9,0,0,793
2562,ตาก,17,93,871.6,67.3,43.2,9.3,28.6,2,0.2,1022
2562,นครนายก,18,94,837,76,41.2,15.9,29.7,0,0,872
2562,นครปฐม,19,87,694.1,76.2,40.5,14.2,28.5,0,0,1919
2562,นครพนม,20,127,2178.1,70,40.2,10.8,27.6,0,0,1624
2562,นครราชสีมา,21,84,639,69.2,41.9,13.5,28.8,8,0.1,8155
2562,นครศรีธรรมราช,22,150,2130.8,81.4,38.4,20.4,27.8,10,0.12,8279
2562,นครสวรรค์,23,94,975.4,71.4,42.5,12.4,29.3,2,0.12,1735
2562,นนทบุรี,24,95,1058.1,72.9,40,17.7,29.5,5,0.41,1228
2562,นราธิวาส,25,148,2089.2,77.5,37,18.4,27.7,0,0,4175
2562,น่าน,26,96,1275,72.5,42.5,7.6,27.3,1,0.32,308
2562,บึงกาฬ,27,127,2178.1,70,40.2,10.8,27.6,1,0.07,1467
2562,บุรีรัมย์,28,114,1261.7,75.7,40.2,0.6,27.6,1,0.02,6398
2562,ปทุมธานี,29,94,837,76,41.2,15.9,29.7,4,0.34,1184
2562,ประจวบคีรีขันธ์,30,94,855.1,75.2,39.5,17.5,28.2,2,0.26,769
2562,ปราจีนบุรี,31,111,1341.4,69.9,40.3,17.3,29.6,1,0.1,1027
2562,ปัตตานี,32,146,1464,83.7,38.9,19.4,27.8,1,0.04,2552
2562,พระนครศรีอยุธยา,33,77,575.8,72.6,40.4,15.6,29,1,0.07,1529
2562,พะเยา,34,86,740.2,75.3,40,6.2,26.2,2,0.87,229
2562,พังงา,35,183,3828.7,78.5,37.2,20.3,27.7,0,0,929
2562,พัทลุง,36,145,1702.9,81.7,39,21.5,27.8,0,0,1928
2562,พิจิตร,37,89,837.6,74.4,41.5,11.5,28.7,1,0.22,449
2562,พิษณุโลก,38,89,867.6,72,41.5,10.4,28.6,3,0.38,793
2562,เพชรบุรี,39,90,585.6,76,38.4,17.5,29,3,0.34,875
2562,เพชรบูรณ์,40,100,880.8,69.1,42.6,12.1,28.6,2,0.07,2906
2562,แพร่,41,100,999.9,73,43,8.2,27.8,0,0,356
2562,ภูเก็ต,42,149,1688.8,75.4,39.2,23.2,29.2,1,0.07,1537
2562,มหาสารคาม,43,75,1228.2,69.7,43.3,11.5,28.6,0,0,2170
2562,มุกดาหาร,44,90,1587,70.5,41.6,12.2,27.9,1,0.18,566
2562,แม่ฮ่องสอน,45,118,1135.4,73,43.2,9.6,26.4,0,0,283
2562,ยโสธร,46,95,1530.7,70,41.3,12.7,28.4,0,0,777
2562,ยะลา,47,173,2097.2,81,38.9,18,27.4,0,0,2237
2562,ร้อยเอ็ด,48,95,1530.7,70,41.3,12.7,28.4,1,0.03,2878
2562,ระนอง,49,183,3828.7,78.5,37.2,20.3,27.7,1,0.21,471
2562,ระยอง,50,94,946,76.9,35,17.5,28.8,0,0,1015
2562,ราชบุรี,51,100,956.1,76.9,40,16.6,28.1,2,0.13,1598
2562,ลพบุรี,52,84,790.1,68.4,36.5,17,29.3,0,0,1514
2562,ลำปาง,53,100,1238.9,69,43.1,8.5,27.7,0,0,491
2562,ลำพูน,54,91,923.5,69.5,42.2,9,27.2,0,0,690
2562,เลย,55,95,624.9,69.3,43.4,6.8,27.3,2,0.11,1862
2562,ศรีสะเกษ,56,104,1194.3,73.4,40.5,12.8,28.2,2,0.08,2631
2562,สกลนคร,57,109,1213,71.2,40.5,10,27.5,1,0.04,2609
2562,สงขลา,58,146,1370.8,76.8,36.9,21.6,28.5,1,0.03,3291
2562,สตูล,59,149,1905.7,78,36.4,20.4,28.1,0,0,2017
2562,สมุทรปราการ,60,97,962.6,74.3,36.5,18.4,29.1,4,0.29,1383
2562,สมุทรสงคราม,61,97,962.6,74.3,36.5,18.4,29.1,0,0,276
2562,สมุทรสาคร,62,97,962.6,74.3,36.5,18.4,29.1,2,0.15,1329
2562,สระแก้ว,63,111,1356.6,77.9,40,15,28.2,3,0.16,1894
2562,สระบุรี,64,84,790.1,68.4,36.5,17,29.3,0,0,1444
2562,สิงห์บุรี,65,84,790.1,68.4,36.5,17,29.3,1,0.34,293
2562,สุโขทัย,66,79,736.2,74.2,42.5,11.3,28.9,0,0,833
2562,สุพรรณบุรี,67,78,513.2,71.4,41,15.3,29.4,2,0.11,1750
2562,สุราษฎร์ธานี,68,143,1233.1,82.9,39.5,20.1,27.4,2,0.06,3441
2562,สุรินทร์,69,108,1194.2,69.4,40.8,11.6,28.3,2,0.06,3600
2562,หนองคาย,70,92,1544.6,70.6,41.5,10.5,28.3,1,0.12,814
2562,หนองบัวลำภู,71,98,1285,70.2,42.5,8.5,27.9,1,0.12,805
2562,อ่างทอง,72,84,790.1,68.4,36.5,17,29.3,0,0,804
2562,อำนาจเจริญ,73,95,1024,69.3,40.6,9.9,25.25,0,0,1264
2562,อุดรธานี,74,106,1285.7,69.6,42.5,8.5,27.9,3,0.12,2475
2562,อุตรดิตถ์,75,77,842.8,67.5,43,13,28.8,1,0.15,646
2562,อุทัยธานี,76,94,975.4,71.4,42.5,12.4,29.3,0,0,1004
2562,อุบลราชธานี,77,108,1697.7,68.5,40.6,13.7,28.5,9,0.16,5523
2563,กระบี่,2,183,2267.6,80.1,38.8,20.5,29.65,1,0.11,874
2563,กรุงเทพฯ,1,110,1704.2,72.9,40,18.3,29.15,12,0.37,3276
2563,กาญจนบุรี,3,98,1148.3,67.2,42.5,15.5,29,1,0.07,1491
2563,กาฬสินธุ์,4,107,1036.1,75,41.4,11.1,26.25,1,0.06,1604
2563,กำแพงเพชร,5,104,660.9,70.1,42,14.2,28.1,0,0,406
2563,ขอนแก่น,6,110,1280.7,67.2,41.5,13.5,27.5,3,0.07,4595
2563,จันทบุรี,7,169,2556.5,77.6,36.4,17.6,27,2,0.27,733
2563,ฉะเชิงเทรา,8,132,1430.1,77.4,39.5,15.2,27.35,1,0.14,708
2563,ชลบุรี,9,125,1256.6,73.7,38.7,18.6,28.65,1,0.04,2359
2563,ชัยนาท,10,98,804.4,72.1,41,16,28.5,0,0,808
2563,ชัยภูมิ,11,113,1164.1,63.9,42.5,14.2,28.35,1,0.03,2955
2563,ชุมพร,12,143,1768.2,80.9,38.3,18.9,28.6,0,0,625
2563,เชียงราย,13,111,1198.5,70.2,42,9,25.5,0,0,981
2563,เชียงใหม่,14,105,1085.1,65.8,41.6,10.8,26.2,1,0.04,2581
2563,ตรัง,15,192,2214.6,79.9,38,20.6,29.3,3,0.09,3211
2563,ตราด,16,191,3504.3,81,35.8,20,27.9,1,0.32,311
2563,ตาก,17,97,862.8,67.3,43.2,13.7,28.45,1,0.15,673
2563,นครนายก,18,119,1500.3,76,41.2,18.4,29.8,0,0,309
2563,นครปฐม,19,94,1207.7,76.2,40.5,14,27.25,1,0.11,896
