,year,Province,AgeGroup,ag_0-4,ag_10-14,ag_15-24,ag_25-34,ag_35-59,ag_5-9,ag_60,patient_count
232,2016,Nong Bua Lam Phu,10-14,0,1,0,0,0,0,0,114
233,2016,Nong Bua Lam Phu,15-24,0,0,1,0,0,0,0,106
234,2016,Nong Bua Lam Phu,25-34,0,0,0,1,0,0,0,32
235,2016,Nong Bua Lam Phu,35-59,0,0,0,0,1,0,0,46
236,2016,Nong Bua Lam Phu,5-9,0,0,0,0,0,1,0,106
237,2016,Nong Bua Lam Phu,60,0,0,0,0,0,0,1,10
238,2016,Nong Khai,0-4,1,0,0,0,0,0,0,26
239,2016,Nong Khai,10-14,0,1,0,0,0,0,0,80
240,2016,Nong Khai,15-24,0,0,1,0,0,0,0,94
241,2016,Nong Khai,25-34,0,0,0,1,0,0,0,20
242,2016,Nong Khai,35-59,0,0,0,0,1,0,0,48
243,2016,Nong Khai,5-9,0,0,0,0,0,1,0,82
244,2016,Nong Khai,60,0,0,0,0,0,0,1,4
245,2016,Nonthaburi,0-4,1,0,0,0,0,0,0,108
246,2016,Nonthaburi,10-14,0,1,0,0,0,0,0,128
247,2016,Nonthaburi,15-24,0,0,1,0,0,0,0,334
248,2016,Nonthaburi,25-34,0,0,0,1,0,0,0,172
249,2016,Nonthaburi,35-59,0,0,0,0,1,0,0,272
250,2016,Nonthaburi,5-9,0,0,0,0,0,1,0,106
251,2016,Nonthaburi,60,0,0,0,0,0,0,1,82
252,2016,Pathum Thani,0-4,1,0,0,0,0,0,0,30
253,2016,Pathum Thani,10-14,0,1,0,0,0,0,0,112
254,2016,Pathum Thani,15-24,0,0,1,0,0,0,0,208
255,2016,Pathum Thani,25-34,0,0,0,1,0,0,0,152
256,2016,Pathum Thani,35-59,0,0,0,0,1,0,0,168
257,2016,Pathum Thani,5-9,0,0,0,0,0,1,0,106
258,2016,Pathum Thani,60,0,0,0,0,0,0,1,30
259,2016,Pattani,0-4,1,0,0,0,0,0,0,602
260,2016,Pattani,10-14,0,1,0,0,0,0,0,996
261,2016,Pattani,15-24,0,0,1,0,0,0,0,1128
262,2016,Pattani,25-34,0,0,0,1,0,0,0,450
263,2016,Pattani,35-59,0,0,0,0,1,0,0,376
264,2016,Pattani,5-9,0,0,0,0,0,1,0,982
265,2016,Pattani,60,0,0,0,0,0,0,1,106
266,2016,Phang-nga,0-4,1,0,0,0,0,0,0,84
267,2016,Phang-nga,10-14,0,1,0,0,0,0,0,140
268,2016,Phang-nga,15-24,0,0,1,0,0,0,0,114
269,2016,Phang-nga,25-34,0,0,0,1,0,0,0,128
270,2016,Phang-nga,35-59,0,0,0,0,1,0,0,114
271,2016,Phang-nga,5-9,0,0,0,0,0,1,0,122
272,2016,Phang-nga,60,0,0,0,0,0,0,1,24
273,2016,Phatthalung,0-4,1,0,0,0,0,0,0,180
274,2016,Phatthalung,10-14,0,1,0,0,0,0,0,612
275,2016,Phatthalung,15-24,0,0,1,0,0,0,0,834
276,2016,Phatthalung,25-34,0,0,0,1,0,0,0,404
277,2016,Phatthalung,35-59,0,0,0,0,1,0,0,418
278,2016,Phatthalung,5-9,0,0,0,0,0,1,0,400
279,2016,Phatthalung,60,0,0,0,0,0,0,1,94
280,2016,Phayao,0-4,1,0,0,0,0,0,0,12
281,2016,Phayao,10-14,0,1,0,0,0,0,0,46
282,2016,Phayao,15-24,0,0,1,0,0,0,0,92
283,2016,Phayao,25-34,0,0,0,1,0,0,0,60
284,2016,Phayao,35-59,0,0,0,0,1,0,0,142
285,2016,Phayao,5-9,0,0,0,0,0,1,0,24
286,2016,Phayao,60,0,0,0,0,0,0,1,28
287,2016,Phetchabun,0-4,1,0,0,0,0,0,0,108
288,2016,Phetchabun,10-14,0,1,0,0,0,0,0,316
289,2016,Phetchabun,15-24,0,0,1,0,0,0,0,436
290,2016,Phetchabun,25-34,0,0,0,1,0,0,0,292
291,2016,Phetchabun,35-59,0,0,0,0,1,0,0,304
292,2016,Phetchabun,5-9,0,0,0,0,0,1,0,264
293,2016,Phetchabun,60,0,0,0,0,0,0,1,72
294,2016,Phetchaburi,0-4,1,0,0,0,0,0,0,94
295,2016,Phetchaburi,10-14,0,1,0,0,0,0,0,152
296,2016,Phetchaburi,15-24,0,0,1,0,0,0,0,266
297,2016,Phetchaburi,25-34,0,0,0,1,0,0,0,126
298,2016,Phetchaburi,35-59,0,0,0,0,1,0,0,134
299,2016,Phetchaburi,5-9,0,0,0,0,0,1,0,176
300,2016,Phetchaburi,60,0,0,0,0,0,0,1,40
301,2016,Phichit,0-4,1,0,0,0,0,0,0,46
302,2016,Phichit,10-14,0,1,0,0,0,0,0,152
303,2016,Phichit,15-24,0,0,1,0,0,0,0,152
304,2016,Phichit,25-34,0,0,0,1,0,0,0,94
305,2016,Phichit,35-59,0,0,0,0,1,0,0,104
306,2016,Phichit,5-9,0,0,0,0,0,1,0,86
307,2016,Phichit,60,0,0,0,0,0,0,1,26
308,2016,Phitsanulok,0-4,1,0,0,0,0,0,0,44
309,2016,Phitsanulok,10-14,0,1,0,0,0,0,0,204
310,2016,Phitsanulok,15-24,0,0,1,0,0,0,0,306
311,2016,Phitsanulok,25-34,0,0,0,1,0,0,0,174
312,2016,Phitsanulok,35-59,0,0,0,0,1,0,0,224
313,2016,Phitsanulok,5-9,0,0,0,0,0,1,0,152
314,2016,Phitsanulok,60,0,0,0,0,0,0,1,42
